Applicant_ID,Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Annual_Income,Credit_Score,Existing_Loans,Loan_Amount,Loan_Term_Months,Loan_Purpose,Collateral_Value,City,Loan_to_Income_Ratio,Debt_to_Income_Ratio,Late_Payments_Count,Default_History,Loan_Status
A0001,59,Female,Married,2,Graduate,Self-employed,1273276,848,1,1356847,12,Home,1173077,Chennai,1.07,1.11,5,Yes,Rejected
A0002,49,Male,Married,1,Highschool,Salaried,1193931,641,0,695976,60,Business,784516,Pune,0.58,0.12,5,Yes,Rejected
A0003,35,Male,Married,2,Graduate,Salaried,431237,706,2,951980,180,Medical,616798,Ahmedabad,2.21,0.43,5,Yes,Rejected
A0004,28,Female,Married,1,Graduate,Self-employed,1108063,724,1,373306,180,Personal,1142284,Delhi,0.34,0.08,2,No,Approved
A0005,41,Male,Single,0,Highschool,Self-employed,506024,392,2,697823,120,Medical,622107,Jaipur,1.38,0.38,2,No,Rejected
A0006,59,Male,Widowed,2,Highschool,Salaried,314003,711,2,500435,120,Education,1030649,Chennai,1.59,0.54,0,No,Rejected
A0007,39,Female,Widowed,2,Graduate,Salaried,1387968,731,0,695152,60,Vehicle,1284179,Pune,0.5,0.1,3,Yes,Rejected
A0008,43,Male,Married,0,Postgraduate,Salaried,249589,458,2,1266947,120,Personal,930784,Jaipur,5.08,0.99,4,Yes,Rejected
A0009,31,Male,Single,2,Postgraduate,Retired,450606,313,1,799793,12,Vehicle,560591,Indore,1.77,1.91,0,No,Rejected
A0010,31,Female,Married,3,Highschool,Salaried,931636,672,2,613214,60,Home,551741,Delhi,0.66,0.26,4,Yes,Rejected
A0011,44,Female,Single,1,Graduate,Retired,760185,524,3,881704,240,Business,1563484,Lucknow,1.16,0.29,0,No,Rejected
A0012,56,Male,Single,1,Graduate,Self-employed,389637,804,2,1214764,60,Personal,895318,Mumbai,3.12,0.93,2,No,Rejected
A0013,44,Male,Single,1,Graduate,Salaried,886290,372,0,1334599,24,Education,1895703,Kolkata,1.51,0.75,5,Yes,Rejected
A0014,23,Female,Married,3,Graduate,Salaried,1462469,548,1,862476,36,Home,723809,Indore,0.59,0.24,3,Yes,Rejected
A0015,42,Female,Married,1,Postgraduate,Salaried,1319510,810,0,660846,180,Home,1572102,Ahmedabad,0.5,0.03,2,No,Approved
A0016,22,Male,Married,0,Postgraduate,Salaried,780118,515,3,228938,24,Vehicle,156837,Kolkata,0.29,0.38,3,Yes,Rejected
A0017,44,Female,Married,2,Graduate,Salaried,467673,840,2,1295307,36,Home,1444132,Lucknow,2.77,1.18,4,Yes,Rejected
A0018,50,Male,Married,3,Graduate,Self-employed,556742,519,0,896867,60,Personal,519676,Indore,1.61,0.32,0,No,Rejected
A0019,58,Male,Single,1,Graduate,Retired,957582,520,0,874560,180,Vehicle,1795651,Chennai,0.91,0.06,1,No,Rejected
A0020,22,Male,Single,0,Highschool,Salaried,282987,688,0,712082,120,Home,1010913,Jaipur,2.52,0.25,1,No,Rejected
A0021,41,Male,Widowed,2,Graduate,Self-employed,1386585,853,0,980255,36,Education,1610921,Delhi,0.71,0.24,3,Yes,Rejected
A0022,53,Male,Single,2,Graduate,Salaried,764174,341,3,955656,60,Medical,1966677,Jaipur,1.25,0.49,5,Yes,Rejected
A0023,32,Female,Married,3,Graduate,Salaried,749567,582,3,566441,60,Personal,1761924,Bhopal,0.76,0.39,5,Yes,Rejected
A0024,42,Female,Married,3,Highschool,Salaried,631322,357,2,625667,24,Education,1667519,Pune,0.99,0.69,3,Yes,Rejected
A0025,45,Female,Married,3,Highschool,Salaried,310776,836,2,584716,24,Education,1325745,Ahmedabad,1.88,1.33,2,No,Rejected
A0026,47,Female,Married,0,Postgraduate,Retired,568444,372,1,738922,120,Vehicle,269289,Bhopal,1.3,0.24,1,No,Rejected
A0027,48,Male,Married,0,Highschool,Self-employed,1362369,428,3,877867,240,Business,625494,Bhopal,0.64,0.16,2,No,Rejected
A0028,36,Male,Married,3,Graduate,Salaried,410809,898,0,1468465,48,Vehicle,1235445,Ahmedabad,3.57,0.89,4,Yes,Rejected
A0029,35,Male,Divorced,1,Highschool,Salaried,1420192,725,0,1069309,12,Personal,1876731,Pune,0.75,0.75,1,No,Rejected
A0030,23,Male,Married,2,Highschool,Salaried,1490838,424,1,505732,48,Personal,597518,Chennai,0.34,0.13,4,Yes,Rejected
A0031,57,Female,Single,2,Highschool,Salaried,733285,366,0,834782,48,Vehicle,1970910,Pune,1.14,0.28,0,No,Rejected
A0032,27,Male,Married,0,Highschool,Self-employed,1354678,305,1,316915,180,Business,679290,Delhi,0.23,0.06,2,No,Rejected
A0033,41,Male,Divorced,2,Postgraduate,Self-employed,1072143,613,2,1304491,240,Vehicle,1465544,Jaipur,1.22,0.17,3,Yes,Rejected
A0034,29,Female,Single,1,Highschool,Salaried,765148,625,3,1285560,180,Personal,1156714,Chennai,1.68,0.35,1,No,Rejected
A0035,59,Female,Married,2,Postgraduate,Salaried,1176974,864,1,318431,120,Business,1779961,Mumbai,0.27,0.08,2,No,Approved
A0036,38,Female,Married,0,Graduate,Salaried,837506,877,0,1046301,180,Personal,736664,Jaipur,1.25,0.08,3,Yes,Rejected
A0037,24,Female,Married,0,Graduate,Salaried,722070,805,1,761809,36,Business,1110616,Chennai,1.06,0.43,0,No,Rejected
A0038,45,Male,Single,1,Graduate,Salaried,307041,381,2,232797,120,Business,1681532,Pune,0.76,0.47,1,No,Rejected
A0039,34,Male,Married,1,Graduate,Salaried,574368,898,0,967838,120,Vehicle,1771632,Ahmedabad,1.69,0.17,4,Yes,Rejected
A0040,29,Female,Divorced,2,Graduate,Self-employed,525800,301,2,1157880,60,Vehicle,504788,Pune,2.2,0.67,0,No,Rejected
A0041,46,Male,Single,2,Highschool,Self-employed,916438,503,2,1090562,60,Vehicle,1506440,Mumbai,1.19,0.37,5,Yes,Rejected
A0042,22,Male,Single,0,Graduate,Salaried,681862,703,1,225555,60,Business,1890038,Chennai,0.33,0.15,3,Yes,Rejected
A0043,40,Male,Widowed,1,Postgraduate,Salaried,1324866,402,2,1481040,12,Business,1105391,Delhi,1.12,1.21,1,No,Rejected
A0044,48,Female,Single,1,Postgraduate,Salaried,1305209,835,0,568224,36,Personal,216741,Pune,0.44,0.15,1,No,Approved
A0045,27,Male,Married,1,Postgraduate,Salaried,1369694,667,2,1133424,36,Education,1161365,Chennai,0.83,0.36,0,No,Rejected
A0046,28,Female,Married,2,Graduate,Self-employed,898961,511,2,1243064,60,Vehicle,1477482,Jaipur,1.38,0.41,1,No,Rejected
A0047,55,Male,Single,1,Graduate,Salaried,1251690,876,1,1407066,48,Medical,743766,Mumbai,1.12,0.33,3,Yes,Rejected
A0048,34,Male,Married,0,Graduate,Salaried,1012934,508,2,1486311,12,Personal,1007536,Delhi,1.47,1.59,0,No,Rejected
A0049,37,Male,Married,0,Graduate,Salaried,249768,416,3,885890,48,Personal,844355,Chennai,3.55,1.61,4,Yes,Rejected
A0050,56,Female,Married,2,Highschool,Self-employed,1173069,777,1,1022229,24,Home,1216220,Indore,0.87,0.49,0,No,Rejected
A0051,24,Male,Single,3,Graduate,Salaried,283123,404,1,840957,36,Vehicle,1233678,Pune,2.97,1.2,0,No,Rejected
A0052,22,Female,Married,2,Highschool,Salaried,366405,794,0,606289,36,Personal,330048,Mumbai,1.65,0.55,4,Yes,Rejected
A0053,26,Female,Single,3,Graduate,Salaried,203174,345,0,712495,48,Home,1817397,Delhi,3.51,0.88,5,Yes,Rejected
A0054,24,Female,Single,1,Postgraduate,Self-employed,317769,630,0,298017,12,Medical,237469,Delhi,0.94,0.94,3,Yes,Rejected
A0055,49,Male,Widowed,2,Highschool,Retired,497542,515,0,1164941,36,Medical,757596,Bhopal,2.34,0.78,5,Yes,Rejected
A0056,38,Male,Single,0,Highschool,Salaried,629145,791,3,952224,48,Vehicle,1733139,Kolkata,1.51,0.66,5,Yes,Rejected
A0057,46,Male,Married,1,Highschool,Self-employed,1383969,748,1,820217,120,Business,1125664,Mumbai,0.59,0.1,5,Yes,Rejected
A0058,54,Male,Single,0,Postgraduate,Retired,966868,835,2,871769,120,Home,529896,Delhi,0.9,0.21,2,No,Rejected
A0059,30,Female,Married,1,Graduate,Retired,1435069,810,0,771064,180,Business,569955,Chennai,0.54,0.04,5,Yes,Rejected
A0060,56,Female,Single,2,Graduate,Salaried,796923,757,0,260974,12,Medical,1628411,Bhopal,0.33,0.33,2,No,Approved
A0061,34,Female,Widowed,3,Postgraduate,Salaried,1128864,846,0,1006073,48,Medical,939989,Kolkata,0.89,0.22,4,Yes,Rejected
A0062,51,Male,Married,1,Postgraduate,Salaried,967166,835,2,332366,180,Education,1549388,Jaipur,0.34,0.15,3,Yes,Rejected
A0063,35,Female,Single,3,Graduate,Self-employed,417070,839,0,350319,120,Education,927366,Chennai,0.84,0.08,5,Yes,Rejected
A0064,28,Male,Single,1,Graduate,Salaried,599017,783,2,939949,12,Education,1963399,Pune,1.57,1.77,1,No,Rejected
A0065,34,Female,Single,0,Graduate,Self-employed,1131775,315,1,134012,240,Education,1283483,Kolkata,0.12,0.06,4,Yes,Rejected
A0066,43,Male,Married,0,Graduate,Salaried,569359,870,1,766775,180,Personal,862380,Mumbai,1.35,0.2,2,No,Rejected
A0067,41,Male,Single,1,Highschool,Self-employed,1398632,542,1,607730,240,Education,1906888,Pune,0.43,0.06,3,Yes,Rejected
A0068,36,Female,Married,3,Postgraduate,Self-employed,1074527,506,3,132161,60,Personal,1106136,Lucknow,0.12,0.19,0,No,Rejected
A0069,38,Female,Married,2,Graduate,Salaried,1047374,570,2,554529,12,Personal,901495,Lucknow,0.53,0.64,3,Yes,Rejected
A0070,44,Female,Single,2,Highschool,Self-employed,343933,414,0,347066,24,Vehicle,1023695,Mumbai,1.01,0.5,3,Yes,Rejected
A0071,46,Female,Married,0,Graduate,Salaried,1347546,879,0,863977,60,Personal,214601,Jaipur,0.64,0.13,5,Yes,Rejected
A0072,45,Male,Married,2,Highschool,Self-employed,1330779,598,0,1413122,180,Personal,880650,Kolkata,1.06,0.07,5,Yes,Rejected
A0073,49,Female,Single,0,Highschool,Salaried,1440895,782,0,1211766,48,Education,376606,Bhopal,0.84,0.21,2,No,Rejected
